Journey ID,Node ID,Campaign / Segment / Controller Name, Channel / Segment / Controller Type, Moved Forward,Moved Forward via Yes,Moved Forward via No,Moved Forward via Node Timeout,Goal 1 Conversions,Total Sent,Total Viewed,Total Clicked,Errors
1440,2,LTR/RPC=1,Action,148724,148724.0,,,,,,,
1440,4,D0,Push,148383,,,,,128242.0,119625.0,4094.0,6959.0
1440,4,D0,Push,148383,,,,,9982.0,0.0,368.0,2150.0
1440,7,Ride 2 Complete?,Action,144585,33008.0,,111577.0,,,,,
1440,10,D0,Push,93577,,,,,81022.0,75810.0,3980.0,3689.0
1440,10,D0,Push,93577,,,,,6613.0,0.0,547.0,1417.0
1440,13,Ride 3 Complete?,Action,93301,25449.0,,67852.0,,,,,
1440,161,D0,Push,65918,,,,,56850.0,53165.0,2693.0,2581.0
1440,161,D0,Push,65918,,,,,4937.0,0.0,356.0,1014.0
1440,16,D1,Push,67710,,,,,56722.0,51137.0,846.0,4792.0
1440,16,D1,Push,67710,,,,,4689.0,0.0,113.0,1035.0
1440,19,Ride 3 Complete?,Action,70607,10552.0,,60055.0,,,,,
1440,22,D2,Push,59956,,,,,49717.0,44509.0,440.0,4868.0
1440,22,D2,Push,59956,,,,,4012.0,0.0,45.0,900.0
1440,25,Ride 3 Complete?,Action,29930,29930.0,,0.0,,,,,
1440,31,Ride 4 Complete?,Action,65363,22354.0,,43009.0,,,,,
1440,155,D0,Push,49180,,,,,42504.0,39664.0,2155.0,1778.0
1440,155,D0,Push,49180,,,,,3723.0,0.0,202.0,758.0
1440,34,D1,Push,42941,,,,,36057.0,32735.0,647.0,2869.0
1440,34,D1,Push,42941,,,,,3086.0,0.0,87.0,628.0
1440,37,Ride 4 Complete?,Action,43223,9538.0,,33685.0,,,,,
1440,40,D2,Push,33623,,,,,27792.0,25004.0,287.0,2675.0
1440,40,D2,Push,33623,,,,,2379.0,0.0,25.0,540.0
1440,43,Ride 4 Complete?,Action,17304,17304.0,,0.0,,,,,
1440,49,Ride 5 Complete?,Action,49189,18899.0,,30290.0,,,,,
1440,149,D0,Push,38158,,,,,32896.0,30825.0,978.0,1241.0
1440,149,D0,Push,38158,,,,,3073.0,0.0,104.0,626.0
1440,52,D1,Push,30254,,,,,25360.0,23181.0,248.0,1921.0
1440,52,D1,Push,30254,,,,,2317.0,0.0,31.0,443.0
1440,55,Ride 5 Complete?,Action,29647,8230.0,,21417.0,,,,,
1440,58,D2,Push,21387,,,,,17772.0,16072.0,229.0,1538.0
1440,58,D2,Push,21387,,,,,1550.0,0.0,29.0,355.0
1440,61,Ride 5 Complete?,Action,11034,11034.0,,0.0,,,,,
1440,67,Ride 6 Complete?,Action,38573,16685.0,,21888.0,,,,,
1440,143,D0,Push,30768,,,,,26373.0,24621.0,600.0,1129.0
1440,143,D0,Push,30768,,,,,2538.0,0.0,65.0,485.0
1440,70,D1,Push,21869,,,,,18497.0,16953.0,322.0,1281.0
1440,70,D1,Push,21869,,,,,1671.0,0.0,49.0,276.0
1440,73,Ride 6 Complete?,Action,14088,14088.0,,0.0,,,,,
1440,79,Ride 7 Complete?,Action,31204,0.0,,31204.0,,,,,
1440,139,D0,Push,22842,,,,,19633.0,18376.0,436.0,786.0
1440,139,D0,Push,22842,,,,,1915.0,0.0,50.0,349.0
1440,82,D1,Push,31179,,,,,25943.0,24014.0,584.0,1869.0
1440,82,D1,Push,31179,,,,,2571.0,0.0,51.0,540.0
1440,85,Ride 7 Complete?,Action,22844,22844.0,,0.0,,,,,
1440,91,Ride 8 Complete?,Action,21628,12448.0,,9180.0,,,,,
1440,135,D0,Push,18379,,,,,15700.0,14664.0,432.0,663.0
1440,135,D0,Push,18379,,,,,1554.0,0.0,47.0,301.0
1440,94,D1,Push,9177,,,,,7703.0,7072.0,94.0,519.0
1440,94,D1,Push,9177,,,,,748.0,0.0,16.0,141.0
1440,97,Ride 8 Complete?,Action,5933,5933.0,,0.0,,,,,
1440,103,Ride 9 Complete?,Action,17149,9933.0,,7216.0,,,,,
1440,131,D0,Push,14453,,,,,12317.0,11511.0,376.0,500.0
1440,131,D0,Push,14453,,,,,1288.0,0.0,50.0,245.0
1440,106,D1,Push,7212,,,,,6004.0,5550.0,84.0,462.0
1440,106,D1,Push,7212,,,,,578.0,0.0,7.0,100.0
1440,109,Ride 9 Complete?,Action,4520,4520.0,,0.0,,,,,
1440,116,Milestone Complete?,Action,13764,8706.0,,5058.0,,,,,
1440,120,D1,Push,5055,,,,,4269.0,3969.0,78.0,284.0
1440,120,D1,Push,5055,,,,,401.0,0.0,11.0,71.0
1440,123,Milestone Complete?,Action,3577,3577.0,,0.0,,,,,
1440,163,D1,Push,111222,,,,,93155.0,82593.0,1009.0,8821.0
1440,163,D1,Push,111222,,,,,6910.0,0.0,90.0,1587.0
1440,166,Ride 2 Complete?,Action,120174,10968.0,,109206.0,,,,,
1440,170,D2,Push,108951,,,,,88863.0,78823.0,1117.0,10659.0
1440,170,D2,Push,108951,,,,,6978.0,0.0,127.0,1565.0
1440,173,Ride 2 Complete?,Action,49653,49653.0,,0.0,,,,,
