Journey ID,Node ID,Campaign / Segment / Controller Name, Channel / Segment / Controller Type, Moved Forward,Moved Forward via Yes,Moved Forward via No,Moved Forward via Node Timeout,Goal 1 Conversions,Total Sent,Total Viewed,Total Clicked,Errors
1440,2,LTR/RPC=1,Action,224888,224888.0,,,,,,,
1440,4,D0,Push,224693,,,,,194074.0,180617.0,5638.0,9750.0
1440,4,D0,Push,224693,,,,,15762.0,0.0,628.0,3336.0
1440,7,Ride 2 Complete?,Action,238419,56708.0,,181711.0,,,,,
1440,10,D0,Push,118100,,,,,102011.0,95190.0,4852.0,4705.0
1440,10,D0,Push,118100,,,,,8757.0,0.0,667.0,1695.0
1440,13,Ride 3 Complete?,Action,126468,41683.0,,84785.0,,,,,
1440,161,D0,Push,74187,,,,,63805.0,59590.0,3193.0,2763.0
1440,161,D0,Push,74187,,,,,5877.0,0.0,410.0,1142.0
1440,16,D1,Push,84487,,,,,71141.0,64485.0,1422.0,5256.0
1440,16,D1,Push,84487,,,,,6203.0,0.0,231.0,1323.0
1440,19,Ride 3 Complete?,Action,81139,22669.0,,58470.0,,,,,
1440,22,D2,Push,58227,,,,,48613.0,42932.0,546.0,3929.0
1440,22,D2,Push,58227,,,,,4286.0,0.0,78.0,982.0
1440,25,Ride 3 Complete?,Action,9857,9857.0,,0.0,,,,,
1440,31,Ride 4 Complete?,Action,69293,33326.0,,35967.0,,,,,
1440,155,D0,Push,46417,,,,,39774.0,36952.0,2206.0,1708.0
1440,155,D0,Push,46417,,,,,3776.0,0.0,270.0,758.0
1440,34,D1,Push,35825,,,,,30083.0,27275.0,705.0,2144.0
1440,34,D1,Push,35825,,,,,2795.0,0.0,106.0,561.0
1440,37,Ride 4 Complete?,Action,26730,10903.0,,15827.0,,,,,
1440,40,D2,Push,15752,,,,,13156.0,11512.0,168.0,1011.0
1440,40,D2,Push,15752,,,,,1216.0,0.0,18.0,236.0
1440,43,Ride 4 Complete?,Action,2196,2196.0,,0.0,,,,,
1440,49,Ride 5 Complete?,Action,40842,24119.0,,16723.0,,,,,
1440,149,D0,Push,30548,,,,,26128.0,24246.0,793.0,1058.0
1440,149,D0,Push,30548,,,,,2627.0,0.0,96.0,465.0
1440,52,D1,Push,16669,,,,,13991.0,12739.0,152.0,908.0
1440,52,D1,Push,16669,,,,,1378.0,0.0,28.0,280.0
1440,55,Ride 5 Complete?,Action,11545,5735.0,,5810.0,,,,,
1440,58,D2,Push,5780,,,,,4925.0,4274.0,82.0,299.0
1440,58,D2,Push,5780,,,,,446.0,0.0,9.0,78.0
1440,61,Ride 5 Complete?,Action,701,701.0,,0.0,,,,,
1440,67,Ride 6 Complete?,Action,26596,18278.0,,8318.0,,,,,
1440,143,D0,Push,21067,,,,,17985.0,16630.0,426.0,724.0
1440,143,D0,Push,21067,,,,,1817.0,0.0,71.0,352.0
1440,70,D1,Push,8297,,,,,7014.0,6381.0,161.0,435.0
1440,70,D1,Push,8297,,,,,688.0,0.0,20.0,107.0
1440,73,Ride 6 Complete?,Action,2797,2797.0,,0.0,,,,,
1440,79,Ride 7 Complete?,Action,15428,0.0,,15428.0,,,,,
1440,139,D0,Push,6826,,,,,5924.0,5430.0,162.0,168.0
1440,139,D0,Push,6826,,,,,623.0,0.0,18.0,78.0
1440,82,D1,Push,15377,,,,,13097.0,11870.0,424.0,689.0
1440,82,D1,Push,15377,,,,,1255.0,0.0,46.0,230.0
1440,85,Ride 7 Complete?,Action,6829,6829.0,,0.0,,,,,
1440,91,Ride 8 Complete?,Action,3283,3063.0,,220.0,,,,,
1440,135,D0,Push,3118,,,,,2697.0,2474.0,61.0,81.0
1440,135,D0,Push,3118,,,,,278.0,0.0,15.0,39.0
1440,94,D1,Push,220,,,,,185.0,154.0,2.0,9.0
1440,94,D1,Push,220,,,,,20.0,0.0,0.0,5.0
1440,97,Ride 8 Complete?,Action,55,55.0,,0.0,,,,,
1440,103,Ride 9 Complete?,Action,1744,1645.0,,99.0,,,,,
1440,131,D0,Push,1666,,,,,1444.0,1318.0,37.0,45.0
1440,131,D0,Push,1666,,,,,143.0,0.0,4.0,19.0
1440,106,D1,Push,99,,,,,87.0,70.0,1.0,7.0
1440,106,D1,Push,99,,,,,3.0,0.0,0.0,1.0
1440,109,Ride 9 Complete?,Action,21,21.0,,0.0,,,,,
1440,116,Milestone Complete?,Action,969,934.0,,35.0,,,,,
1440,120,D1,Push,35,,,,,31.0,27.0,0.0,1.0
1440,120,D1,Push,35,,,,,2.0,0.0,0.0,1.0
1440,123,Milestone Complete?,Action,8,8.0,,0.0,,,,,
1440,163,D1,Push,180947,,,,,151478.0,135473.0,1824.0,12889.0
1440,163,D1,Push,180947,,,,,12496.0,0.0,239.0,2842.0
1440,166,Ride 2 Complete?,Action,210429,29022.0,,181407.0,,,,,
1440,170,D2,Push,180708,,,,,150755.0,133055.0,2252.0,13381.0
1440,170,D2,Push,180708,,,,,12566.0,0.0,233.0,2705.0
1440,173,Ride 2 Complete?,Action,32409,32409.0,,0.0,,,,,
