Journey ID,Node ID,Campaign / Segment / Controller Name, Channel / Segment / Controller Type, Moved Forward,Moved Forward via Yes,Moved Forward via No,Moved Forward via Node Timeout,Goal 1 Conversions,Total Sent,Total Viewed,Total Clicked,Errors
1440,2,LTR/RPC=1,Action,146307,146307.0,,,,,,,
1440,4,D0,Push,145919,,,,,126493.0,117434.0,3872.0,7237.0
1440,4,D0,Push,145919,,,,,9193.0,0.0,330.0,1991.0
1440,7,Ride 2 Complete?,Action,157283,35250.0,,122033.0,,,,,
1440,10,D0,Push,94240,,,,,81351.0,75953.0,4050.0,4112.0
1440,10,D0,Push,94240,,,,,6608.0,0.0,521.0,1421.0
1440,13,Ride 3 Complete?,Action,98752,27297.0,,71455.0,,,,,
1440,161,D0,Push,66051,,,,,56937.0,53085.0,2898.0,2712.0
1440,161,D0,Push,66051,,,,,4939.0,0.0,303.0,947.0
1440,16,D1,Push,71354,,,,,60425.0,53615.0,999.0,4519.0
1440,16,D1,Push,71354,,,,,4907.0,0.0,121.0,1023.0
1440,19,Ride 3 Complete?,Action,71711,11586.0,,60125.0,,,,,
1440,22,D2,Push,60048,,,,,50495.0,44193.0,479.0,4253.0
1440,22,D2,Push,60048,,,,,4025.0,0.0,77.0,858.0
1440,25,Ride 3 Complete?,Action,27207,27207.0,,0.0,,,,,
1440,31,Ride 4 Complete?,Action,67579,24143.0,,43436.0,,,,,
1440,155,D0,Push,49826,,,,,42828.0,40061.0,2233.0,1918.0
1440,155,D0,Push,49826,,,,,3970.0,0.0,270.0,736.0
1440,34,D1,Push,43381,,,,,36524.0,32875.0,773.0,2721.0
1440,34,D1,Push,43381,,,,,3177.0,0.0,120.0,671.0
1440,37,Ride 4 Complete?,Action,42695,9972.0,,32723.0,,,,,
1440,40,D2,Push,32703,,,,,27448.0,24237.0,315.0,2149.0
1440,40,D2,Push,32703,,,,,2334.0,0.0,23.0,514.0
1440,43,Ride 4 Complete?,Action,15750,15750.0,,0.0,,,,,
1440,49,Ride 5 Complete?,Action,50499,20741.0,,29758.0,,,,,
1440,149,D0,Push,39190,,,,,33794.0,31525.0,1028.0,1378.0
1440,149,D0,Push,39190,,,,,3111.0,0.0,114.0,588.0
1440,52,D1,Push,29731,,,,,25117.0,22686.0,211.0,1661.0
1440,52,D1,Push,29731,,,,,2271.0,0.0,31.0,458.0
1440,55,Ride 5 Complete?,Action,28659,8691.0,,19968.0,,,,,
1440,58,D2,Push,19950,,,,,16732.0,14872.0,235.0,1251.0
1440,58,D2,Push,19950,,,,,1513.0,0.0,18.0,311.0
1440,61,Ride 5 Complete?,Action,9776,9776.0,,0.0,,,,,
1440,67,Ride 6 Complete?,Action,38664,18161.0,,20503.0,,,,,
1440,143,D0,Push,31400,,,,,26844.0,25151.0,656.0,1147.0
1440,143,D0,Push,31400,,,,,2617.0,0.0,70.0,529.0
1440,70,D1,Push,20486,,,,,17297.0,15728.0,329.0,1147.0
1440,70,D1,Push,20486,,,,,1589.0,0.0,54.0,294.0
1440,73,Ride 6 Complete?,Action,13265,13265.0,,0.0,,,,,
1440,79,Ride 7 Complete?,Action,30537,0.0,,30537.0,,,,,
1440,139,D0,Push,21272,,,,,18230.0,16950.0,419.0,725.0
1440,139,D0,Push,21272,,,,,1816.0,0.0,59.0,329.0
1440,82,D1,Push,30519,,,,,25552.0,23499.0,643.0,1719.0
1440,82,D1,Push,30519,,,,,2515.0,0.0,63.0,503.0
1440,85,Ride 7 Complete?,Action,21287,21287.0,,0.0,,,,,
1440,91,Ride 8 Complete?,Action,19676,12007.0,,7669.0,,,,,
1440,135,D0,Push,16974,,,,,14511.0,13507.0,370.0,603.0
1440,135,D0,Push,16974,,,,,1421.0,0.0,50.0,301.0
1440,94,D1,Push,7664,,,,,6470.0,5932.0,75.0,395.0
1440,94,D1,Push,7664,,,,,640.0,0.0,15.0,110.0
1440,97,Ride 8 Complete?,Action,4976,4976.0,,0.0,,,,,
1440,103,Ride 9 Complete?,Action,15273,9521.0,,5752.0,,,,,
1440,131,D0,Push,13325,,,,,11389.0,10658.0,352.0,457.0
1440,131,D0,Push,13325,,,,,1147.0,0.0,27.0,226.0
1440,106,D1,Push,5749,,,,,4763.0,4349.0,67.0,318.0
1440,106,D1,Push,5749,,,,,546.0,0.0,9.0,85.0
1440,109,Ride 9 Complete?,Action,3813,3813.0,,0.0,,,,,
1440,116,Milestone Complete?,Action,12890,8702.0,,4188.0,,,,,
1440,120,D1,Push,4185,,,,,3478.0,3191.0,63.0,243.0
1440,120,D1,Push,4185,,,,,375.0,0.0,5.0,64.0
1440,123,Milestone Complete?,Action,2800,2800.0,,0.0,,,,,
1440,163,D1,Push,121707,,,,,102216.0,89525.0,1131.0,9007.0
1440,163,D1,Push,121707,,,,,7937.0,0.0,107.0,1702.0
1440,166,Ride 2 Complete?,Action,122798,11815.0,,110983.0,,,,,
1440,170,D2,Push,110821,,,,,91929.0,79461.0,1279.0,9203.0
1440,170,D2,Push,110821,,,,,7246.0,0.0,139.0,1635.0
1440,173,Ride 2 Complete?,Action,47276,47276.0,,0.0,,,,,
