Journey ID,Node ID,Campaign / Segment / Controller Name, Channel / Segment / Controller Type, Moved Forward,Moved Forward via Yes,Moved Forward via No,Moved Forward via Node Timeout,Goal 1 Conversions,Total Sent,Total Viewed,Total Clicked,Errors
1440,2,LTR/RPC=1,Action,132622,132622.0,,,,,,,
1440,4,D0,Push,132304,,,,,113722.0,106667.0,3694.0,7613.0
1440,4,D0,Push,132304,,,,,8055.0,0.0,308.0,1965.0
1440,7,Ride 2 Complete?,Action,138862,27198.0,,111664.0,,,,,
1440,10,D0,Push,34528,,,,,29501.0,28064.0,1643.0,1910.0
1440,10,D0,Push,34528,,,,,2237.0,0.0,188.0,607.0
1440,13,Ride 3 Complete?,Action,69876,10497.0,,59379.0,,,,,
1440,161,D0,Push,16815,,,,,14044.0,13500.0,740.0,1143.0
1440,161,D0,Push,16815,,,,,1175.0,0.0,79.0,307.0
1440,16,D1,Push,59335,,,,,48845.0,43493.0,699.0,5206.0
1440,16,D1,Push,59335,,,,,3810.0,0.0,78.0,1007.0
1440,19,Ride 3 Complete?,Action,66919,6324.0,,60595.0,,,,,
1440,22,D2,Push,60571,,,,,50203.0,44102.0,427.0,4674.0
1440,22,D2,Push,60571,,,,,4184.0,0.0,64.0,992.0
1440,25,Ride 3 Complete?,Action,59133,0.0,,59133.0,,,,,
1440,31,Ride 4 Complete?,Action,46522,8316.0,,38206.0,,,,,
1440,155,D0,Push,13531,,,,,11274.0,10793.0,640.0,946.0
1440,155,D0,Push,13531,,,,,936.0,0.0,69.0,242.0
1440,34,D1,Push,38202,,,,,31391.0,28076.0,590.0,3322.0
1440,34,D1,Push,38202,,,,,2588.0,0.0,68.0,626.0
1440,37,Ride 4 Complete?,Action,41284,5218.0,,36066.0,,,,,
1440,40,D2,Push,36045,,,,,29799.0,26205.0,295.0,2699.0
1440,40,D2,Push,36045,,,,,2678.0,0.0,39.0,614.0
1440,43,Ride 4 Complete?,Action,35096,0.0,,35096.0,,,,,
1440,49,Ride 5 Complete?,Action,32585,6731.0,,25854.0,,,,,
1440,149,D0,Push,10916,,,,,9067.0,8631.0,257.0,767.0
1440,149,D0,Push,10916,,,,,778.0,0.0,31.0,199.0
1440,52,D1,Push,25852,,,,,21228.0,19115.0,188.0,2242.0
1440,52,D1,Push,25852,,,,,1752.0,0.0,20.0,432.0
1440,55,Ride 5 Complete?,Action,27623,4190.0,,23433.0,,,,,
1440,58,D2,Push,23431,,,,,19498.0,17335.0,241.0,1712.0
1440,58,D2,Push,23431,,,,,1685.0,0.0,22.0,376.0
1440,61,Ride 5 Complete?,Action,22658,0.0,,22658.0,,,,,
1440,67,Ride 6 Complete?,Action,23932,5852.0,,18080.0,,,,,
1440,143,D0,Push,5851,,,,,4795.0,4658.0,120.0,418.0
1440,143,D0,Push,5851,,,,,460.0,0.0,11.0,110.0
1440,70,D1,Push,18080,,,,,14846.0,13398.0,232.0,1465.0
1440,70,D1,Push,18080,,,,,1295.0,0.0,22.0,307.0
1440,73,Ride 6 Complete?,Action,84959,0.0,,84959.0,,,,,
1440,79,Ride 7 Complete?,Action,19952,0.0,,19952.0,,,,,
1440,139,D0,Push,0,,,,,0.0,181.0,16.0,0.0
1440,139,D0,Push,0,,,,,0.0,0.0,1.0,0.0
1440,82,D1,Push,19955,,,,,16187.0,14750.0,314.0,1726.0
1440,82,D1,Push,19955,,,,,1513.0,0.0,38.0,363.0
1440,85,Ride 7 Complete?,Action,91296,0.0,,91296.0,,,,,
1440,91,Ride 8 Complete?,Action,10918,2251.0,,8667.0,,,,,
1440,135,D0,Push,2250,,,,,1760.0,1762.0,56.0,227.0
1440,135,D0,Push,2250,,,,,168.0,0.0,6.0,70.0
1440,94,D1,Push,8667,,,,,7078.0,6433.0,95.0,696.0
1440,94,D1,Push,8667,,,,,678.0,0.0,13.0,151.0
1440,97,Ride 8 Complete?,Action,29703,0.0,,29703.0,,,,,
1440,103,Ride 9 Complete?,Action,8494,2555.0,,5939.0,,,,,
1440,131,D0,Push,2554,,,,,2042.0,2009.0,57.0,214.0
1440,131,D0,Push,2554,,,,,211.0,0.0,2.0,58.0
1440,106,D1,Push,5936,,,,,4857.0,4417.0,55.0,495.0
1440,106,D1,Push,5936,,,,,446.0,0.0,10.0,95.0
1440,109,Ride 9 Complete?,Action,20928,0.0,,20928.0,,,,,
1440,116,Milestone Complete?,Action,6875,2390.0,,4485.0,,,,,
1440,120,D1,Push,4487,,,,,3610.0,3327.0,45.0,413.0
1440,120,D1,Push,4487,,,,,370.0,0.0,10.0,66.0
1440,123,Milestone Complete?,Action,14585,0.0,,14585.0,,,,,
1440,163,D1,Push,111465,,,,,91934.0,80182.0,924.0,10091.0
1440,163,D1,Push,111465,,,,,6905.0,0.0,108.0,1783.0
1440,166,Ride 2 Complete?,Action,115786,7341.0,,108445.0,,,,,
1440,170,D2,Push,108337,,,,,89185.0,76321.0,1202.0,9478.0
1440,170,D2,Push,108337,,,,,7136.0,0.0,127.0,1711.0
1440,173,Ride 2 Complete?,Action,106058,0.0,,106058.0,,,,,
