Journey ID,Node ID,Campaign / Segment / Controller Name, Channel / Segment / Controller Type, Moved Forward,Moved Forward via Yes,Moved Forward via No,Moved Forward via Node Timeout,Goal 1 Conversions,Total Sent,Total Viewed,Total Clicked,Errors
1440,2,LTR/RPC=1,Action,137978,137978.0,,,,,,,
1440,4,D0,Push,137637,,,,,118545.0,109455.0,3264.0,7235.0
1440,4,D0,Push,137637,,,,,8823.0,0.0,330.0,2069.0
1440,7,Ride 2 Complete?,Action,142698,26981.0,,115717.0,,,,,
1440,10,D0,Push,77674,,,,,66685.0,61753.0,3074.0,3905.0
1440,10,D0,Push,77674,,,,,5235.0,0.0,408.0,1208.0
1440,13,Ride 3 Complete?,Action,89504,19879.0,,69625.0,,,,,
1440,161,D0,Push,55161,,,,,47372.0,43918.0,2164.0,2643.0
1440,161,D0,Push,55161,,,,,3863.0,0.0,232.0,830.0
1440,16,D1,Push,69511,,,,,58279.0,52185.0,928.0,4758.0
1440,16,D1,Push,69511,,,,,4848.0,0.0,115.0,1086.0
1440,19,Ride 3 Complete?,Action,67362,7996.0,,59366.0,,,,,
1440,22,D2,Push,59305,,,,,48965.0,43470.0,422.0,4956.0
1440,22,D2,Push,59305,,,,,4003.0,0.0,56.0,960.0
1440,25,Ride 3 Complete?,Action,411152,27312.0,,383840.0,,,,,
1440,31,Ride 4 Complete?,Action,62123,16947.0,,45176.0,,,,,
1440,155,D0,Push,40228,,,,,34512.0,31991.0,1701.0,1832.0
1440,155,D0,Push,40228,,,,,2911.0,0.0,174.0,633.0
1440,34,D1,Push,45133,,,,,37788.0,34034.0,712.0,2960.0
1440,34,D1,Push,45133,,,,,3316.0,0.0,86.0,748.0
1440,37,Ride 4 Complete?,Action,42334,7186.0,,35148.0,,,,,
1440,40,D2,Push,35125,,,,,29085.0,26083.0,293.0,2748.0
1440,40,D2,Push,35125,,,,,2487.0,0.0,25.0,563.0
1440,43,Ride 4 Complete?,Action,174584,16111.0,,158473.0,,,,,
1440,49,Ride 5 Complete?,Action,46157,13950.0,,32207.0,,,,,
1440,149,D0,Push,30620,,,,,26215.0,24290.0,724.0,1369.0
1440,149,D0,Push,30620,,,,,2269.0,0.0,61.0,487.0
1440,52,D1,Push,32180,,,,,27059.0,24617.0,266.0,2014.0
1440,52,D1,Push,32180,,,,,2383.0,0.0,28.0,485.0
1440,55,Ride 5 Complete?,Action,29837,6393.0,,23444.0,,,,,
1440,58,D2,Push,23435,,,,,19395.0,17353.0,227.0,1758.0
1440,58,D2,Push,23435,,,,,1775.0,0.0,23.0,354.0
1440,61,Ride 5 Complete?,Action,93414,10284.0,,83130.0,,,,,
1440,67,Ride 6 Complete?,Action,35385,11691.0,,23694.0,,,,,
1440,143,D0,Push,24095,,,,,20586.0,19087.0,427.0,1046.0
1440,143,D0,Push,24095,,,,,1885.0,0.0,43.0,370.0
1440,70,D1,Push,23682,,,,,19877.0,18175.0,343.0,1372.0
1440,70,D1,Push,23682,,,,,1841.0,0.0,35.0,399.0
1440,73,Ride 6 Complete?,Action,12408,12408.0,,0.0,,,,,
1440,79,Ride 7 Complete?,Action,30575,0.0,,30575.0,,,,,
1440,139,D0,Push,19329,,,,,16400.0,15151.0,388.0,845.0
1440,139,D0,Push,19329,,,,,1611.0,0.0,38.0,322.0
1440,82,D1,Push,30549,,,,,25403.0,23424.0,567.0,1959.0
1440,82,D1,Push,30549,,,,,2460.0,0.0,73.0,504.0
1440,85,Ride 7 Complete?,Action,19335,19335.0,,0.0,,,,,
1440,91,Ride 8 Complete?,Action,20612,8774.0,,11838.0,,,,,
1440,135,D0,Push,14427,,,,,12272.0,11346.0,281.0,640.0
1440,135,D0,Push,14427,,,,,1181.0,0.0,37.0,219.0
1440,94,D1,Push,11830,,,,,9902.0,9057.0,134.0,705.0
1440,94,D1,Push,11830,,,,,974.0,0.0,13.0,178.0
1440,97,Ride 8 Complete?,Action,5654,5654.0,,0.0,,,,,
1440,103,Ride 9 Complete?,Action,16739,7382.0,,9357.0,,,,,
1440,131,D0,Push,12155,,,,,10264.0,9492.0,289.0,564.0
1440,131,D0,Push,12155,,,,,1024.0,0.0,20.0,196.0
1440,106,D1,Push,9356,,,,,7802.0,7142.0,105.0,554.0
1440,106,D1,Push,9356,,,,,778.0,0.0,12.0,153.0
1440,109,Ride 9 Complete?,Action,4775,4775.0,,0.0,,,,,
1440,116,Milestone Complete?,Action,13337,6492.0,,6845.0,,,,,
1440,120,D1,Push,6842,,,,,5709.0,5241.0,84.0,377.0
1440,120,D1,Push,6842,,,,,580.0,0.0,11.0,124.0
1440,123,Milestone Complete?,Action,3329,3329.0,,0.0,,,,,
1440,163,D1,Push,115410,,,,,96106.0,84375.0,1053.0,9083.0
1440,163,D1,Push,115410,,,,,7704.0,0.0,117.0,1748.0
1440,166,Ride 2 Complete?,Action,111424,8507.0,,102917.0,,,,,
1440,170,D2,Push,102794,,,,,84583.0,73336.0,1081.0,9581.0
1440,170,D2,Push,102794,,,,,6257.0,0.0,125.0,1585.0
1440,173,Ride 2 Complete?,Action,1068065,42272.0,,1025793.0,,,,,
