Journey ID,Node ID,Campaign / Segment / Controller Name, Channel / Segment / Controller Type, Moved Forward,Moved Forward via Yes,Moved Forward via No,Moved Forward via Node Timeout,Goal 1 Conversions,Total Sent,Total Viewed,Total Clicked,Errors
1440,2,LTR/RPC=1,Action,232272,232272.0,,,,,,,
1440,4,D0,Push,232054,,,,,200103.0,186523.0,5671.0,10544.0
1440,4,D0,Push,232054,,,,,16143.0,0.0,621.0,3420.0
1440,7,Ride 2 Complete?,Action,226160,58315.0,,167845.0,,,,,
1440,10,D0,Push,117878,,,,,101562.0,95026.0,4857.0,4944.0
1440,10,D0,Push,117878,,,,,8662.0,0.0,625.0,1763.0
1440,13,Ride 3 Complete?,Action,117213,36625.0,,80588.0,,,,,
1440,161,D0,Push,69638,,,,,59812.0,55874.0,2840.0,2917.0
1440,161,D0,Push,69638,,,,,5288.0,0.0,329.0,1078.0
1440,16,D1,Push,80579,,,,,68218.0,61545.0,1203.0,4770.0
1440,16,D1,Push,80579,,,,,5868.0,0.0,172.0,1191.0
1440,19,Ride 3 Complete?,Action,81160,17060.0,,64100.0,,,,,
1440,22,D2,Push,64152,,,,,53739.0,47918.0,552.0,4267.0
1440,22,D2,Push,64152,,,,,4623.0,0.0,54.0,1043.0
1440,25,Ride 3 Complete?,Action,15964,15964.0,,0.0,,,,,
1440,31,Ride 4 Complete?,Action,72184,29069.0,,43115.0,,,,,
1440,155,D0,Push,45635,,,,,39183.0,36582.0,2111.0,1874.0
1440,155,D0,Push,45635,,,,,3466.0,0.0,214.0,716.0
1440,34,D1,Push,43129,,,,,36390.0,33160.0,811.0,2323.0
1440,34,D1,Push,43129,,,,,3419.0,0.0,116.0,666.0
1440,37,Ride 4 Complete?,Action,35142,11094.0,,24048.0,,,,,
1440,40,D2,Push,24075,,,,,20071.0,17951.0,209.0,1538.0
1440,40,D2,Push,24075,,,,,1870.0,0.0,26.0,396.0
1440,43,Ride 4 Complete?,Action,5477,5477.0,,0.0,,,,,
1440,49,Ride 5 Complete?,Action,45330,21540.0,,23790.0,,,,,
1440,149,D0,Push,30420,,,,,25947.0,24202.0,770.0,1263.0
1440,149,D0,Push,30420,,,,,2470.0,0.0,84.0,474.0
1440,52,D1,Push,23806,,,,,20019.0,18126.0,219.0,1291.0
1440,52,D1,Push,23806,,,,,1910.0,0.0,31.0,411.0
1440,55,Ride 5 Complete?,Action,16997,6645.0,,10352.0,,,,,
1440,58,D2,Push,10358,,,,,8673.0,7687.0,139.0,599.0
1440,58,D2,Push,10358,,,,,836.0,0.0,20.0,184.0
1440,61,Ride 5 Complete?,Action,2238,2238.0,,0.0,,,,,
1440,67,Ride 6 Complete?,Action,28851,16049.0,,12802.0,,,,,
1440,143,D0,Push,20666,,,,,17618.0,16390.0,447.0,825.0
1440,143,D0,Push,20666,,,,,1723.0,0.0,49.0,298.0
1440,70,D1,Push,12794,,,,,10799.0,9757.0,219.0,641.0
1440,70,D1,Push,12794,,,,,1070.0,0.0,30.0,189.0
1440,73,Ride 6 Complete?,Action,4614,4614.0,,0.0,,,,,
1440,79,Ride 7 Complete?,Action,20865,0.0,,20865.0,,,,,
1440,139,D0,Push,11115,,,,,9514.0,8777.0,263.0,449.0
1440,139,D0,Push,11115,,,,,859.0,0.0,30.0,193.0
1440,82,D1,Push,20891,,,,,17446.0,15941.0,552.0,1122.0
1440,82,D1,Push,20891,,,,,1783.0,0.0,57.0,355.0
1440,85,Ride 7 Complete?,Action,11115,11115.0,,0.0,,,,,
1440,91,Ride 8 Complete?,Action,9027,7117.0,,1910.0,,,,,
1440,135,D0,Push,7474,,,,,6464.0,5991.0,196.0,240.0
1440,135,D0,Push,7474,,,,,615.0,0.0,24.0,99.0
1440,94,D1,Push,1909,,,,,1633.0,1436.0,20.0,66.0
1440,94,D1,Push,1909,,,,,183.0,0.0,3.0,22.0
1440,97,Ride 8 Complete?,Action,357,357.0,,0.0,,,,,
1440,103,Ride 9 Complete?,Action,4657,3946.0,,711.0,,,,,
1440,131,D0,Push,4098,,,,,3533.0,3249.0,114.0,152.0
1440,131,D0,Push,4098,,,,,329.0,0.0,12.0,54.0
1440,106,D1,Push,709,,,,,606.0,542.0,8.0,29.0
1440,106,D1,Push,709,,,,,61.0,0.0,2.0,11.0
1440,109,Ride 9 Complete?,Action,152,152.0,,0.0,,,,,
1440,116,Milestone Complete?,Action,2586,2248.0,,338.0,,,,,
1440,120,D1,Push,337,,,,,281.0,248.0,8.0,14.0
1440,120,D1,Push,337,,,,,33.0,0.0,0.0,7.0
1440,123,Milestone Complete?,Action,68,68.0,,0.0,,,,,
1440,163,D1,Push,167907,,,,,141034.0,125372.0,1511.0,11453.0
1440,163,D1,Push,167907,,,,,11629.0,0.0,172.0,2594.0
1440,166,Ride 2 Complete?,Action,176408,19896.0,,156512.0,,,,,
1440,170,D2,Push,156718,,,,,130622.0,115245.0,1828.0,11728.0
1440,170,D2,Push,156718,,,,,10624.0,0.0,223.0,2479.0
1440,173,Ride 2 Complete?,Action,39715,39715.0,,0.0,,,,,
