Journey ID,Node ID,Campaign / Segment / Controller Name, Channel / Segment / Controller Type, Moved Forward,Moved Forward via Yes,Moved Forward via No,Moved Forward via Node Timeout,Goal 1 Conversions,Total Sent,Total Viewed,Total Clicked,Errors
1440,2,LTR/RPC=1,Action,187521,187521.0,,,,,,,
1440,4,D0,Push,187320,,,,,161380.0,151369.0,4961.0,9887.0
1440,4,D0,Push,187320,,,,,11849.0,0.0,467.0,2701.0
1440,7,Ride 2 Complete?,Action,223224,47902.0,,175322.0,,,,,
1440,10,D0,Push,97333,,,,,83335.0,78033.0,4068.0,4988.0
1440,10,D0,Push,97333,,,,,6638.0,0.0,463.0,1552.0
1440,13,Ride 3 Complete?,Action,112822,28320.0,,84502.0,,,,,
1440,161,D0,Push,54498,,,,,46400.0,43485.0,2249.0,2811.0
1440,161,D0,Push,54498,,,,,3908.0,0.0,244.0,921.0
1440,16,D1,Push,84491,,,,,70756.0,63576.0,1184.0,5832.0
1440,16,D1,Push,84491,,,,,6016.0,0.0,169.0,1291.0
1440,19,Ride 3 Complete?,Action,79190,10823.0,,68367.0,,,,,
1440,22,D2,Push,68364,,,,,57429.0,50942.0,527.0,4527.0
1440,22,D2,Push,68364,,,,,4906.0,0.0,82.0,1045.0
1440,25,Ride 3 Complete?,Action,15369,15369.0,,0.0,,,,,
1440,31,Ride 4 Complete?,Action,65223,20800.0,,44423.0,,,,,
1440,155,D0,Push,34820,,,,,29502.0,27585.0,1534.0,1792.0
1440,155,D0,Push,34820,,,,,2682.0,0.0,172.0,558.0
1440,34,D1,Push,44403,,,,,37219.0,33589.0,783.0,2900.0
1440,34,D1,Push,44403,,,,,3292.0,0.0,109.0,704.0
1440,37,Ride 4 Complete?,Action,41642,7730.0,,33912.0,,,,,
1440,40,D2,Push,33854,,,,,28405.0,25313.0,356.0,2055.0
1440,40,D2,Push,33854,,,,,2624.0,0.0,51.0,560.0
1440,43,Ride 4 Complete?,Action,6298,6298.0,,0.0,,,,,
1440,49,Ride 5 Complete?,Action,42131,15108.0,,27023.0,,,,,
1440,149,D0,Push,23484,,,,,19845.0,18626.0,569.0,1202.0
1440,149,D0,Push,23484,,,,,1860.0,0.0,65.0,386.0
1440,52,D1,Push,27008,,,,,22773.0,20638.0,220.0,1686.0
1440,52,D1,Push,27008,,,,,1933.0,0.0,25.0,421.0
1440,55,Ride 5 Complete?,Action,23114,5310.0,,17804.0,,,,,
1440,58,D2,Push,17797,,,,,14872.0,13273.0,246.0,1055.0
1440,58,D2,Push,17797,,,,,1416.0,0.0,30.0,327.0
1440,61,Ride 5 Complete?,Action,3071,3071.0,,0.0,,,,,
1440,67,Ride 6 Complete?,Action,27559,11259.0,,16300.0,,,,,
1440,143,D0,Push,16064,,,,,13585.0,12664.0,315.0,750.0
1440,143,D0,Push,16064,,,,,1345.0,0.0,40.0,260.0
1440,70,D1,Push,16303,,,,,13652.0,12335.0,239.0,992.0
1440,70,D1,Push,16303,,,,,1254.0,0.0,25.0,283.0
1440,73,Ride 6 Complete?,Action,4808,4808.0,,0.0,,,,,
1440,79,Ride 7 Complete?,Action,20521,0.0,,20521.0,,,,,
1440,139,D0,Push,9698,,,,,8190.0,7568.0,192.0,460.0
1440,139,D0,Push,9698,,,,,806.0,0.0,16.0,153.0
1440,82,D1,Push,20524,,,,,17021.0,15577.0,451.0,1337.0
1440,82,D1,Push,20524,,,,,1674.0,0.0,42.0,304.0
1440,85,Ride 7 Complete?,Action,9699,9699.0,,0.0,,,,,
1440,91,Ride 8 Complete?,Action,9930,5688.0,,4242.0,,,,,
1440,135,D0,Push,6652,,,,,5635.0,5185.0,152.0,332.0
1440,135,D0,Push,6652,,,,,532.0,0.0,16.0,110.0
1440,94,D1,Push,4242,,,,,3533.0,3140.0,56.0,263.0
1440,94,D1,Push,4242,,,,,327.0,0.0,7.0,79.0
1440,97,Ride 8 Complete?,Action,964,964.0,,0.0,,,,,
1440,103,Ride 9 Complete?,Action,6823,4024.0,,2799.0,,,,,
1440,131,D0,Push,4551,,,,,3864.0,3574.0,110.0,205.0
1440,131,D0,Push,4551,,,,,369.0,0.0,6.0,74.0
1440,106,D1,Push,2798,,,,,2367.0,2112.0,36.0,139.0
1440,106,D1,Push,2798,,,,,235.0,0.0,5.0,46.0
1440,109,Ride 9 Complete?,Action,528,528.0,,0.0,,,,,
1440,116,Milestone Complete?,Action,4399,2933.0,,1466.0,,,,,
1440,120,D1,Push,1466,,,,,1257.0,1112.0,23.0,74.0
1440,120,D1,Push,1466,,,,,111.0,0.0,4.0,15.0
1440,123,Milestone Complete?,Action,280,280.0,,0.0,,,,,
1440,163,D1,Push,175037,,,,,145818.0,129562.0,1636.0,13502.0
1440,163,D1,Push,175037,,,,,11835.0,0.0,176.0,2665.0
1440,166,Ride 2 Complete?,Action,168017,15774.0,,152243.0,,,,,
1440,170,D2,Push,152184,,,,,126142.0,110266.0,1725.0,12016.0
1440,170,D2,Push,152184,,,,,10392.0,0.0,166.0,2472.0
1440,173,Ride 2 Complete?,Action,33700,33700.0,,0.0,,,,,
